Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01.134.07,"Tòa án nhân dân khu vực 7 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.07,"Tòa án nhân dân khu vực 7 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.08,"Tòa án nhân dân khu vực 8 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.08,"Tòa án nhân dân khu vực 8 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.09,"Tòa án nhân dân khu vực 9 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.09,"Tòa án nhân dân khu vực 9 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.10,"Tòa án nhân dân khu vực 10 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.10,"Tòa án nhân dân khu vực 10 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.11,"Tòa án nhân dân khu vực 11 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.11,"Tòa án nhân dân khu vực 11 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.12,"Tòa án nhân dân khu vực 12 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.12,"Tòa án nhân dân khu vực 12 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.13,"Tòa án nhân dân khu vực 13 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.13,"Tòa án nhân dân khu vực 13 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.14,"Tòa án nhân dân khu vực 14 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.14,"Tòa án nhân dân khu vực 14 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.15,"Tòa án nhân dân khu vực 15 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.15,"Tòa án nhân dân khu vực 15 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.16,"Tòa án nhân dân khu vực 16 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.16,"Tòa án nhân dân khu vực 16 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.17,"Tòa án nhân dân khu vực 17 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.17,"Tòa án nhân dân khu vực 17 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.18,"Tòa án nhân dân khu vực 18 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.18,"Tòa án nhân dân khu vực 18 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.134.19,"Tòa án nhân dân khu vực 19 - Hồ Chí Minh",NEW,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.19,"Tòa án nhân dân khu vực 19 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.135.01,"Tòa án nhân dân khu vực 1 - Huế",NEW,D01.135,"Tòa án nhân dân Thành phố Huế",D01.135.01,"Tòa án nhân dân khu vực 1 - Huế","Thành phố Huế"
D01.135.02,"Tòa án nhân dân khu vực 2 - Huế",NEW,D01.135,"Tòa án nhân dân Thành phố Huế",D01.135.02,"Tòa án nhân dân khu vực 2 - Huế","Thành phố Huế"
D01.135.03,"Tòa án nhân dân khu vực 3 - Huế",NEW,D01.135,"Tòa án nhân dân Thành phố Huế",D01.135.03,"Tòa án nhân dân khu vực 3 - Huế","Thành phố Huế"
D01.135.04,"Tòa án nhân dân khu vực 4 - Huế",NEW,D01.135,"Tòa án nhân dân Thành phố Huế",D01.135.04,"Tòa án nhân dân khu vực 4 - Huế","Thành phố Huế"
D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.02,"Tòa án nhân dân khu vực 2 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.02,"Tòa án nhân dân khu vực 2 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.03,"Tòa án nhân dân khu vực 3 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.03,"Tòa án nhân dân khu vực 3 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.04,"Tòa án nhân dân khu vực 4 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.04,"Tòa án nhân dân khu vực 4 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.05,"Tòa án nhân dân khu vực 5 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.05,"Tòa án nhân dân khu vực 5 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.06,"Tòa án nhân dân khu vực 6 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.06,"Tòa án nhân dân khu vực 6 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.07,"Tòa án nhân dân khu vực 7 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.07,"Tòa án nhân dân khu vực 7 - Hưng Yên","Tỉnh Hưng Yên"
D01.136.08,"Tòa án nhân dân khu vực 8 - Hưng Yên",NEW,D01.136,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.08,"Tòa án nhân dân khu vực 8 - Hưng Yên","Tỉnh Hưng Yên"
D01.137.01,"Tòa án nhân dân khu vực 1 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.01,"Tòa án nhân dân khu vực 1 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.02,"Tòa án nhân dân khu vực 2 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.02,"Tòa án nhân dân khu vực 2 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.03,"Tòa án nhân dân khu vực 3 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.03,"Tòa án nhân dân khu vực 3 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.04,"Tòa án nhân dân khu vực 4 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.04,"Tòa án nhân dân khu vực 4 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.05,"Tòa án nhân dân khu vực 5 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.05,"Tòa án nhân dân khu vực 5 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.06,"Tòa án nhân dân khu vực 6 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.06,"Tòa án nhân dân khu vực 6 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.07,"Tòa án nhân dân khu vực 7 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.07,"Tòa án nhân dân khu vực 7 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.137.08,"Tòa án nhân dân khu vực 8 - Khánh Hòa",NEW,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.08,"Tòa án nhân dân khu vực 8 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.138.01,"Tòa án nhân dân khu vực 1 - Lai Châu",NEW,D01.138,"Tòa án nhân dân tỉnh Lai Châu",D01.138.01,"Tòa án nhân dân khu vực 1 - Lai Châu","Tỉnh Lai Châu"
D01.138.02,"Tòa án nhân dân khu vực 2 - Lai Châu",NEW,D01.138,"Tòa án nhân dân tỉnh Lai Châu",D01.138.02,"Tòa án nhân dân khu vực 2 - Lai Châu","Tỉnh Lai Châu"
D01.138.03,"Tòa án nhân dân khu vực 3 - Lai Châu",NEW,D01.138,"Tòa án nhân dân tỉnh Lai Châu",D01.138.03,"Tòa án nhân dân khu vực 3 - Lai Châu","Tỉnh Lai Châu"
D01.138.04,"Tòa án nhân dân khu vực 4 - Lai Châu",NEW,D01.138,"Tòa án nhân dân tỉnh Lai Châu",D01.138.04,"Tòa án nhân dân khu vực 4 - Lai Châu","Tỉnh Lai Châu"
D01.139.01,"Tòa án nhân dân khu vực 1 - Lạng Sơn",NEW,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",D01.139.01,"Tòa án nhân dân khu vực 1 - Lạng Sơn","Tỉnh Lạng Sơn"
D01.139.02,"Tòa án nhân dân khu vực 2 - Lạng Sơn",NEW,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",D01.139.02,"Tòa án nhân dân khu vực 2 - Lạng Sơn","Tỉnh Lạng Sơn"
D01.139.03,"Tòa án nhân dân khu vực 3 - Lạng Sơn",NEW,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",D01.139.03,"Tòa án nhân dân khu vực 3 - Lạng Sơn","Tỉnh Lạng Sơn"
D01.139.04,"Tòa án nhân dân khu vực 4 - Lạng Sơn",NEW,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",D01.139.04,"Tòa án nhân dân khu vực 4 - Lạng Sơn","Tỉnh Lạng Sơn"
D01.139.05,"Tòa án nhân dân khu vực 5 - Lạng Sơn",NEW,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",D01.139.05,"Tòa án nhân dân khu vực 5 - Lạng Sơn","Tỉnh Lạng Sơn"
D01.140.01,"Tòa án nhân dân khu vực 1 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.01,"Tòa án nhân dân khu vực 1 - Lào Cai","Tỉnh Lào Cai"
D01.140.02,"Tòa án nhân dân khu vực 2 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.02,"Tòa án nhân dân khu vực 2 - Lào Cai","Tỉnh Lào Cai"
D01.140.03,"Tòa án nhân dân khu vực 3 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.03,"Tòa án nhân dân khu vực 3 - Lào Cai","Tỉnh Lào Cai"
D01.140.04,"Tòa án nhân dân khu vực 4 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.04,"Tòa án nhân dân khu vực 4 - Lào Cai","Tỉnh Lào Cai"
D01.140.05,"Tòa án nhân dân khu vực 5 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.05,"Tòa án nhân dân khu vực 5 - Lào Cai","Tỉnh Lào Cai"
D01.140.06,"Tòa án nhân dân khu vực 6 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.06,"Tòa án nhân dân khu vực 6 - Lào Cai","Tỉnh Lào Cai"
D01.140.07,"Tòa án nhân dân khu vực 7 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.07,"Tòa án nhân dân khu vực 7 - Lào Cai","Tỉnh Lào Cai"
D01.140.08,"Tòa án nhân dân khu vực 8 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.08,"Tòa án nhân dân khu vực 8 - Lào Cai","Tỉnh Lào Cai"
D01.140.09,"Tòa án nhân dân khu vực 9 - Lào Cai",NEW,D01.140,"Tòa án nhân dân tỉnh Lào Cai",D01.140.09,"Tòa án nhân dân khu vực 9 - Lào Cai","Tỉnh Lào Cai"
D01.141.01,"Tòa án nhân dân khu vực 1 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.01,"Tòa án nhân dân khu vực 1 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.02,"Tòa án nhân dân khu vực 2 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.02,"Tòa án nhân dân khu vực 2 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.03,"Tòa án nhân dân khu vực 3 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.03,"Tòa án nhân dân khu vực 3 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.04,"Tòa án nhân dân khu vực 4 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.04,"Tòa án nhân dân khu vực 4 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.05,"Tòa án nhân dân khu vực 5 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.05,"Tòa án nhân dân khu vực 5 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.06,"Tòa án nhân dân khu vực 6 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.06,"Tòa án nhân dân khu vực 6 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.07,"Tòa án nhân dân khu vực 7 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.07,"Tòa án nhân dân khu vực 7 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.08,"Tòa án nhân dân khu vực 8 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.08,"Tòa án nhân dân khu vực 8 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.09,"Tòa án nhân dân khu vực 9 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.09,"Tòa án nhân dân khu vực 9 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.10,"Tòa án nhân dân khu vực 10 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.10,"Tòa án nhân dân khu vực 10 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.11,"Tòa án nhân dân khu vực 11 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.11,"Tòa án nhân dân khu vực 11 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.12,"Tòa án nhân dân khu vực 12 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.12,"Tòa án nhân dân khu vực 12 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.13,"Tòa án nhân dân khu vực 13 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.13,"Tòa án nhân dân khu vực 13 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.14,"Tòa án nhân dân khu vực 14 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.14,"Tòa án nhân dân khu vực 14 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.15,"Tòa án nhân dân khu vực 15 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.15,"Tòa án nhân dân khu vực 15 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.16,"Tòa án nhân dân khu vực 16 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.16,"Tòa án nhân dân khu vực 16 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.141.17,"Tòa án nhân dân khu vực 17 - Lâm Đồng",NEW,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",D01.141.17,"Tòa án nhân dân khu vực 17 - Lâm Đồng","Tỉnh Lâm Đồng"
D01.142.01,"Tòa án nhân dân khu vực 1 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.01,"Tòa án nhân dân khu vực 1 - Nghệ An","Tỉnh Nghệ An"
D01.142.02,"Tòa án nhân dân khu vực 2 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.02,"Tòa án nhân dân khu vực 2 - Nghệ An","Tỉnh Nghệ An"
D01.142.03,"Tòa án nhân dân khu vực 3 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.03,"Tòa án nhân dân khu vực 3 - Nghệ An","Tỉnh Nghệ An"
D01.142.04,"Tòa án nhân dân khu vực 4 - Nghệ An ",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.04,"Tòa án nhân dân khu vực 4 - Nghệ An ","Tỉnh Nghệ An"
D01.142.05,"Tòa án nhân dân khu vực 5 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.05,"Tòa án nhân dân khu vực 5 - Nghệ An","Tỉnh Nghệ An"
D01.142.06,"Tòa án nhân dân khu vực 6 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.06,"Tòa án nhân dân khu vực 6 - Nghệ An","Tỉnh Nghệ An"
D01.142.07,"Tòa án nhân dân khu vực 7 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.07,"Tòa án nhân dân khu vực 7 - Nghệ An","Tỉnh Nghệ An"
D01.142.08,"Tòa án nhân dân khu vực 8 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.08,"Tòa án nhân dân khu vực 8 - Nghệ An","Tỉnh Nghệ An"
D01.142.09,"Tòa án nhân dân khu vực 9 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.09,"Tòa án nhân dân khu vực 9 - Nghệ An","Tỉnh Nghệ An"
D01.142.10,"Tòa án nhân dân khu vực 10 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.10,"Tòa án nhân dân khu vực 10 - Nghệ An","Tỉnh Nghệ An"
D01.142.11,"Tòa án nhân dân khu vực 11 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.11,"Tòa án nhân dân khu vực 11 - Nghệ An","Tỉnh Nghệ An"
D01.142.12,"Tòa án nhân dân khu vực 12 - Nghệ An",NEW,D01.142,"Tòa án nhân dân tỉnh Nghệ An",D01.142.12,"Tòa án nhân dân khu vực 12 - Nghệ An","Tỉnh Nghệ An"
D01.143.01,"Tòa án nhân dân khu vực 1 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.01,"Tòa án nhân dân khu vực 1 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.02,"Tòa án nhân dân khu vực 2 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.02,"Tòa án nhân dân khu vực 2 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.03,"Tòa án nhân dân khu vực 3 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.03,"Tòa án nhân dân khu vực 3 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.04,"Tòa án nhân dân khu vực 4 - Ninh Bình ",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.04,"Tòa án nhân dân khu vực 4 - Ninh Bình ","Tỉnh Ninh Bình"
D01.143.05,"Tòa án nhân dân khu vực 5 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.05,"Tòa án nhân dân khu vực 5 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.06,"Tòa án nhân dân khu vực 6 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.06,"Tòa án nhân dân khu vực 6 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.07,"Tòa án nhân dân khu vực 7 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.07,"Tòa án nhân dân khu vực 7 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.08,"Tòa án nhân dân khu vực 8 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.08,"Tòa án nhân dân khu vực 8 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.09,"Tòa án nhân dân khu vực 9 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.09,"Tòa án nhân dân khu vực 9 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.10,"Tòa án nhân dân khu vực 10 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.10,"Tòa án nhân dân khu vực 10 - Ninh Bình","Tỉnh Ninh Bình"
D01.143.11,"Tòa án nhân dân khu vực 11 - Ninh Bình",NEW,D01.143,"Tòa án nhân dân tỉnh Ninh Bình",D01.143.11,"Tòa án nhân dân khu vực 11 - Ninh Bình","Tỉnh Ninh Bình"
D01.144.01,"Tòa án nhân dân khu vực 1 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.01,"Tòa án nhân dân khu vực 1 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.02,"Tòa án nhân dân khu vực 2 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.02,"Tòa án nhân dân khu vực 2 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.03,"Tòa án nhân dân khu vực 3 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.03,"Tòa án nhân dân khu vực 3 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.04,"Tòa án nhân dân khu vực 4 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.04,"Tòa án nhân dân khu vực 4 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.05,"Tòa án nhân dân khu vực 5 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.05,"Tòa án nhân dân khu vực 5 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.06,"Tòa án nhân dân khu vực 6 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.06,"Tòa án nhân dân khu vực 6 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.07,"Tòa án nhân dân khu vực 7 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.07,"Tòa án nhân dân khu vực 7 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.08,"Tòa án nhân dân khu vực 8 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.08,"Tòa án nhân dân khu vực 8 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.09,"Tòa án nhân dân khu vực 9 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.09,"Tòa án nhân dân khu vực 9 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.10,"Tòa án nhân dân khu vực 10 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.10,"Tòa án nhân dân khu vực 10 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.11,"Tòa án nhân dân khu vực 11 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.11,"Tòa án nhân dân khu vực 11 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.12,"Tòa án nhân dân khu vực 12 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.12,"Tòa án nhân dân khu vực 12 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.13,"Tòa án nhân dân khu vực 13 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.13,"Tòa án nhân dân khu vực 13 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.14,"Tòa án nhân dân khu vực 14 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.14,"Tòa án nhân dân khu vực 14 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.15,"Tòa án nhân dân khu vực 15 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.15,"Tòa án nhân dân khu vực 15 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.16,"Tòa án nhân dân khu vực 16 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.16,"Tòa án nhân dân khu vực 16 - Phú Thọ","Tỉnh Phú Thọ"
D01.144.17,"Tòa án nhân dân khu vực 17 - Phú Thọ",NEW,D01.144,"Tòa án nhân dân tỉnh Phú Thọ",D01.144.17,"Tòa án nhân dân khu vực 17 - Phú Thọ","Tỉnh Phú Thọ"
D01.145.01,"Tòa án nhân dân khu vực 1 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.01,"Tòa án nhân dân khu vực 1 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.02,"Tòa án nhân dân khu vực 2 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.02,"Tòa án nhân dân khu vực 2 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.03,"Tòa án nhân dân khu vực 3 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.03,"Tòa án nhân dân khu vực 3 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.04,"Tòa án nhân dân khu vực 4 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.04,"Tòa án nhân dân khu vực 4 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.05,"Tòa án nhân dân khu vực 5 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.05,"Tòa án nhân dân khu vực 5 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.06,"Tòa án nhân dân khu vực 6 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.06,"Tòa án nhân dân khu vực 6 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.07,"Tòa án nhân dân khu vực 7 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.07,"Tòa án nhân dân khu vực 7 - Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.145.08,"Tòa án nhân dân khu vực 8 - Quảng Ngãi ",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.08,"Tòa án nhân dân khu vực 8 - Quảng Ngãi ","Tỉnh Quảng Ngãi"
D01.145.09,"Tòa án nhân dân khu vực 9 - Quảng Ngãi ",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.09,"Tòa án nhân dân khu vực 9 - Quảng Ngãi ","Tỉnh Quảng Ngãi"
D01.145.10,"Tòa án nhân dân khu vực 10 - Quảng Ngãi",NEW,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",D01.145.10,"Tòa án nhân dân khu vực 10 - Quảng Ngãi","Tỉnh Quảng Ngãi"
